stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8130795,4408,"Summit/Sullivan (IB)","",36.084222,-79.777348,,,0,,,0,,
8130796,4409,"Summit/Dewey (IB)","",36.082182,-79.77851,,,0,,,0,,
8130797,4410,"Summit/Yanceyville (IB)","",36.080966,-79.78008,,,0,,,0,,
8130799,4412,"N Church/E Lindsay","",36.076093,-79.786703,,,0,,,0,,
8130800,4413,"N Church/Public Library","",36.074465,-79.786773,,,0,,,0,,
8142559,4922,"N Church/E Friendly","",36.073136,-79.786674,,,0,,,0,,
8142560,4923,"N Church/Summit","",36.076645,-79.786612,,,0,,,0,,
8142561,4361,"Summit/Charter (OB)","",36.079685,-79.781846,,,0,,,0,,
8142562,4362,"Summit/Yanceyville (OB)","",36.08056,-79.780423,,,0,,,0,,
8142563,4363,"Summit/Dewey (OB)","",36.081934,-79.778469,,,0,,,0,,
8142564,4364,"Summit/Sullivan (OB)","",36.083474,-79.777489,,,0,,,0,,
8142565,4365,"Summit/E Bessemer (OB)","",36.085251,-79.776383,,,0,,,0,,
8142566,4366,"Summit/NE Shopping Center (OB)","",36.086643,-79.775476,,,0,,,0,,
8142567,4367,"Summit/4th","",36.090474,-79.772579,,,0,,,0,,
