trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
678,6084,4,Hopper Trolley,"",0,403636,24960,
681,5934,2,Lawndale Dr. - Outbound to Cottage Pl,"",0,403629,21560,
687,5924,2,To Downtown Depot,"",1,403626,21547,
691,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
695,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403597,21548,
704,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403613,23844,
705,5936,1,To Downtown Depot,"",1,403602,21555,
706,5910,1,To Downtown Depot,"",1,403578,21518,
708,5920,2,To Downtown Depot,"",1,403622,21539,
710,5919,1,Battleground Ave,"",0,403583,21537,
715,5910,1,N. Elm St./Church St. - Outbound to Pisgah Church,"",0,403578,21524,
720,5919,1,8 Inbound To Depot,"",1,403585,24464,
723,5916,2,To Downtown Depot,"",1,403619,21526,
727,5924,1,To Downtown Depot,"",1,403598,21547,
732,6084,4,Hopper Trolley,"",1,403635,24961,
740,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
741,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403587,21527,
742,6084,3,Hopper Trolley,"",1,403631,24961,
746,6084,3,Hopper Trolley,"",0,403633,24960,
749,6349,1,WESTBOUND TO SAPP ROAD,"",1,403566,23843,
753,5925,2,To Downtown Depot,"",1,403625,21550,
758,5920,1,To Downtown Depot,"",1,403589,21539,
759,5924,2,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403625,21549,
760,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403607,23842,
762,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403609,23844,
767,5925,1,To Downtown Depot,"",1,403596,21550,
771,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403581,21529,
772,5919,1,8 Inbound To Depot,"",1,403586,24464,
774,5924,1,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403598,21549,
778,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
780,5925,1,To Downtown Depot,"",1,403598,21550,
784,5919,2,Battleground Ave,"",0,403621,21537,
785,5913,1,To Downtown Depot,"",1,403582,21531,
788,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403583,21523,
789,6084,4,Hopper Trolley,"",0,403637,24960,
791,6084,4,Hopper Trolley,"",1,403637,24961,
792,6349,1,WESTBOUND TO KOGER BLVD.,"",1,403572,23844,
797,6084,3,Hopper Trolley,"",0,403631,24960,
799,5916,1,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403582,21529,
800,5910,1,To Downtown Depot,"",1,403578,21518,
804,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403584,21523,
806,6084,3,Hopper Trolley,"",1,403630,24961,
807,5919,2,Battleground Ave,"",0,403621,21537,
811,5919,1,Battleground Ave,"",0,403586,21537,
814,5927,1,Route 12A,"",0,403594,22077,
816,5918,2,Friendly Ave. - Outbound to Friends Home,"",0,403620,21527,
818,5919,1,Battleground Ave,"",0,403586,21537,
819,5919,1,8 Inbound To Depot,"",1,403583,24464,
820,5924,1,To Downtown Depot,"",1,403595,21547,
821,5918,2,To Downtown Depot,"",1,403620,21528,
823,5913,1,To Downtown Depot,"",1,403579,21531,
826,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403600,21554,
830,5922,2,To Downtown Depot,"",1,403623,21543,
831,6084,3,Hopper Trolley,"",0,403633,24960,
832,5927,2,Route 12A,"",1,403624,22076,
834,5913,1,To Downtown Depot,"",1,403579,21531,
838,5918,2,Friendly Ave. - Outbound to Friends Home,"",0,403620,21527,
841,5918,1,Friendly Ave. - Outbound to Friends Home,"",0,403588,21527,
844,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403591,21545,
849,6084,4,Hopper Trolley,"",0,403634,24960,
852,5924,1,To Downtown Depot,"",1,403595,21547,
853,6084,4,Hopper Trolley,"",0,403635,24960,
854,5922,1,To Downtown Depot,"",1,403593,21544,
857,5934,1,Lawndale Dr. - Outbound to Cottage Pl,"",0,403603,21560,
858,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403609,23844,
859,5934,2,To Downtown Depot,"",1,403629,21559,
861,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403611,23844,
865,5914,2,Gorrell St. - Outbound to Franklin Blvd,"",0,403618,21523,
866,5925,2,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403626,21548,
868,5927,1,Route 12A,"",1,403594,22076,
877,5913,1,To Downtown Depot,"",1,403581,21531,
878,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
879,6084,3,Hopper Trolley,"",0,403632,24960,
881,5924,1,To Downtown Depot,"",1,403598,21547,
888,5925,1,To Downtown Depot,"",1,403598,21550,
889,5913,2,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403617,21525,
896,5918,1,To Downtown Depot,"",1,403588,21528,
897,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403580,21525,
902,5922,1,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403591,21545,
905,5914,2,To Downtown Depot,"",1,403618,21522,
906,5906,2,To Downtown Depot,"",1,403615,21517,
908,5924,1,To Downtown Depot,"",1,403597,21547,
909,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403602,21556,
911,6084,3,Hopper Trolley,"",1,403633,24961,
