trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_eastbound_Sat_T01,06:45:57,06:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T01,06:47:00,06:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T01,06:47:47,06:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T01,06:48:26,06:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T01,07:15:00,07:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T02,07:45:00,07:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T02,07:45:57,07:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T02,07:47:00,07:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T02,07:47:47,07:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T02,07:48:26,07:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T02,08:15:00,08:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T03,08:45:00,08:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T03,08:45:57,08:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T03,08:47:00,08:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T03,08:47:47,08:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T03,08:48:26,08:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T03,09:15:00,09:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T04,09:45:00,09:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T04,09:45:57,09:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T04,09:47:00,09:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T04,09:47:47,09:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T04,09:48:26,09:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T04,10:15:00,10:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T05,10:45:00,10:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
