trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1361010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
7696070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
3955050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
7346020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
5151020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
3344010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
3700010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
5996070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
2778010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
5457020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
3028020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
4574020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
7484020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
9281050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
6017020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
632050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
558010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
4572020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
744070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
593010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
5734070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
4955020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
3175070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
3199070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
492010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
2416010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
5389020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
7266050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
6539020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
9241010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
1012050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
2463070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
3188010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
6583050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
3333070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
8784020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
3761050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
4173070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
8628010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
3958020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
4524020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
1638010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
2988010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0019,shp-1-52,0,0
292020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
7946020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
2892050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
3044020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
2861050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
2826050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
6883020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
8016050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
7293050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
6378070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0036,shp-1-52,0,0
8479050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
6094050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
660050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0083,shp-1-52,0,0
8670050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0030,shp-1-52,0,0
6007010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0033,shp-1-52,0,0
7938020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
18020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
2143070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0036,shp-1-52,0,0
8204050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0030,shp-1-52,0,0
2210070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0019,shp-1-52,0,0
6292020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
4071020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
8135050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
7207020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0074,shp-1-52,0,0
3193020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0074,shp-1-52,0,0
3801020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
7354050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0083,shp-1-52,0,0
4301050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
4018010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0063,shp-1-52,0,0
350020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0083,shp-1-52,0,0
2667050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
6567070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
317050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
7675070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
1129050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
4439070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0025,shp-1-52,0,0
8324020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
6099050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0083,shp-1-52,0,0
2352050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0074,shp-1-52,0,0
1340050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0074,shp-1-52,0,0
8131010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0014,shp-1-52,0,0
3297050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
1074020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
5072070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0036,shp-1-52,0,0
8463050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0002,shp-1-52,0,0
2945010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0052,shp-1-52,0,0
298010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0019,shp-1-52,0,0
7955070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0041,shp-1-52,0,0
6186070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0019,shp-1-52,0,0
1461050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
4624010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0033,shp-1-52,0,0
5687020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0062,shp-1-52,0,0
8629020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0010,shp-1-52,0,0
5730070,1,2,"TRIANGLE TOWN CENTER MALL",,0,0041,shp-1-52,0,0
2256050,1,1,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
6717010,1,3,"TRIANGLE TOWN CENTER MALL",,0,0019,shp-1-52,0,0
2830020,1,4,"TRIANGLE TOWN CENTER MALL",,0,0007,shp-1-52,0,0
