stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
5540,5540,"Chapel Hill Rd at Pickett Rd (SB)",,35.97678,-78.93625,,,0,,0
5544,5544,"Fayetteville St at Homeland Ave (SB)",,35.96207,-78.9089,,,0,,0
5547,5547,"Sima Ave at Bacon St",,35.97767,-78.88435,,,0,,0
5549,5549,"Fayetteville St at Linwood Ave (Lincoln",,35.9812078,-78.8992314,,,0,,0
5550,5550,"Hardee St at Delano St (Hardee Terrace)",,35.997496,-78.864402,,,0,,0
5552,5552,"NC 55 at Meridian Pkwy (SB)",,35.912198,-78.892648,,,0,,0
5553,5553,"Milton Rd at Eno Valley Elementary (NB)",,36.08645,-78.912,,,0,,0
5557,5557,"Morreene Rd at Andrews Rd",,36.013029,-78.95629,,,0,,0
5559,5559,"Willard St at Blackwell St (South Parkin",,35.991862,-78.906599,,,0,,0
5561,5561,"Leon St at N Buchanan Blvd (EB)",,36.025475,-78.910534,,,0,,0
5563,5563,"Duke St at Fairfield St",,36.0472356,-78.9056442,,,0,,0
5564,5564,"Morreene Rd at Erwin Rd",,36.00382,-78.95275,,,0,,0
5565,5565,"Fayetteville St at Elmira Ave (Fayettevi",,35.964905,-78.906124,,,0,,0
5567,5567,"Fayetteville Rd at Juliette Dr (SB)",,35.931954,-78.916697,,,0,,0
5568,5568,"Meriwether Dr at Old Oxford Rd (SB)",,36.03602,-78.89013,,,0,,0
5569,5569,"Hillsborough Rd at LaSalle St (Durham Fe",,36.019752,-78.947568,,,0,,0
5570,5570,"Garrett Rd at Durham-Chapel Hill Blvd (N",,35.958731,-78.974587,,,0,,0
5572,5572,"Cornwallis Rd at Bainbridge Dr (SB)",,35.939637,-78.896774,,,0,,0
5573,5573,"Holloway St at Elizabeth St (EB)",,35.994511,-78.890385,,,0,,0
5574,5574,"Durham-Chapel Hill Blvd at Hope Valley R",,35.97392,-78.93305,,,0,,0
5575,5575,"Roxboro St at Charles St",,35.9664811,-78.9168035,,,0,,0
5578,5578,"Fayetteville St at Simmons St",,35.9819872,-78.8991683,,,0,,0
5579,5579,"North Pointe Dr at North Pointe Shopping",,36.028632,-78.920304,,,0,,0
5580,5580,"Fayetteville St at Burlington Ave (SB)",,35.96887,-78.90273,,,0,,0
5581,5581,"E Club Blvd at Lindbergh St",,36.022849,-78.878892,,,0,,0
5582,5582,"Angier Ave at East End Ave (WB)",,35.97445,-78.86823,,,0,,0
5584,5584,"Hardee St at Fiske St",,35.99881,-78.86459,,,0,,0
5590,5590,"Hillandale Rd at Croasdaile Crossing",,36.031655,-78.935952,,,0,,0
5593,5593,"Lednum St at Murray Ave",,36.027209,-78.909612,,,0,,0
5594,5594,"Hillsborough Rd at Trent Dr (WB)",,36.0120661232,-78.9304082103,,,0,,0
5595,5595,"Duke St at Markham Ave",,36.009649,-78.905438,,,0,,0
5596,5596,"Foushee St at Avondale Dr (EB)",,36.016151,-78.887701,,,0,,0
5598,5598,"Fayetteville Rd at Geneva Dr (SB)",,35.9205413,-78.9291726,,,0,,0
