route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5646,72451.213256,873117,Route 52,,,45476,59224,0,0
5646,72451.213256,873118,Route 52,,,45476,59224,0,0
5646,72451.213256,873119,Route 52,,,45476,59224,0,0
5646,72451.213256,873120,Route 52,,,45476,59224,0,0
5646,72451.213256,873121,Route 52,,,45476,59224,0,0
5646,59215.162571,873144,Route 52,,,45475,59224,0,0
5646,59215.162571,873145,Route 52,,,45475,59224,0,0
5646,59215.162571,873146,Route 52,,,45475,59224,0,0
5646,59215.162571,873147,Route 52,,,45475,59224,0,0
5646,59215.162571,873148,Route 52,,,45475,59224,0,0
5646,59215.162571,873149,Route 52,,,45475,59224,0,0
5646,59215.162571,873150,Route 52,,,45475,59224,0,0
5646,59215.162571,873151,Route 52,,,45475,59224,0,0
5646,59215.162571,873152,Route 52,,,45475,59224,0,0
5646,59215.162571,873153,Route 52,,,45475,59224,0,0
5646,59215.162571,873154,Route 52,,,45475,59224,0,0
5646,59215.162571,873155,Route 52,,,45475,59224,0,0
5646,59215.162571,873156,Route 52,,,45475,59224,0,0
5646,59215.162571,873157,Route 52,,,45475,59224,0,0
5646,59215.162571,873158,Route 52,,,45475,59224,0,0
5646,59215.162571,873159,Route 52,,,45475,59224,0,0
5646,59215.162571,873160,Route 52,,,45475,59224,0,0
5646,59215.162571,873161,Route 52,,,45475,59224,0,0
5646,59215.162571,873162,Route 52,,,45475,59224,0,0
5646,59215.162571,873163,Route 52,,,45475,59224,0,0
5646,59215.162571,873164,Route 52,,,45475,59224,0,0
5646,59215.162571,873165,Route 52,,,45475,59224,0,0
5646,59215.162571,873166,Route 52,,,45475,59224,0,0
5647,59215.162571,873270,Route 60,,,34545,47785,0,0
5647,59215.162571,873271,Route 60,,,34545,47785,0,0
5647,59215.162571,873272,Route 60,,,34545,47785,0,0
5647,59215.162571,873273,Route 60,,,34545,47785,0,0
5647,59215.162571,873274,Route 60,,,34545,47785,0,0
5647,59215.162571,873275,Route 60,,,34545,47785,0,0
5647,59215.162571,873276,Route 60,,,34545,47785,0,0
5647,59215.162571,873277,Route 60,,,34545,47785,0,0
5647,59215.162571,873278,Route 60,,,34545,47785,0,0
5647,59215.162571,873279,Route 60,,,34545,47785,0,0
5647,59215.162571,873280,Route 60,,,34545,47785,0,0
5647,59215.162571,873281,Route 60,,,34545,47785,0,0
5647,59215.162571,873282,Route 60,,,34545,47785,0,0
5647,59215.162571,873283,Route 60,,,34545,47785,0,0
