school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
Morehead City Primary,ok,Carteret,Regular School,None,Traditional,34.73391383038795,-76.77783325161414,47517.7,0,0.0,False,21
West Carteret High,ok,Carteret,Regular School,None,Traditional,34.737253134245485,-76.78631910100181,46810.7,0,0.0,False,21
White Oak Elementary,ok,Carteret,Regular School,None,Traditional,34.69264089782595,-77.05949266059218,24097.9,0,0.0,False,21
Stoney Creek Elementary,review_recommended,Caswell,Regular School,None,Traditional,36.344966100497,-79.42396458643177,20684.6,0,0.0,False,21
Harry M Arndt Middle,ok,Catawba,Regular School,None,Traditional,35.77443288295512,-81.26720931224101,3118.1,0,0.0,True,21
Bandys High,ok,Catawba,Regular School,None,Traditional,35.64267217339215,-81.08495998037348,11420.9,0,0.0,False,21
Charles H Tuttle Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.589102091392355,-81.15743714666729,9117.2,0,0.0,False,21
Clyde Campbell Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.778225682528266,-81.28790591651548,2076.8,0,0.0,True,21
Fred T Foard High,review_recommended,Catawba,Regular School,None,Traditional,35.61755764404044,-81.37096015200093,10910.3,0,0.0,False,21
Jacobs Fork Middle,review_recommended,Catawba,Regular School,None,Traditional,35.61386086999909,-81.37092368841985,11261.9,0,0.0,False,21
Maiden Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.577912304322695,-81.21250464346271,8662.6,0,0.0,False,21
Maiden High,review_recommended,Catawba,Regular School,None,Traditional,35.5802921485167,-81.22402795905684,8424.2,0,0.0,False,21
Mountain View Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.66362852449884,-81.3856889681494,6937.6,0,0.0,False,21
Oxford Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.77378833865373,-81.15520875735477,7314.7,0,0.0,False,21
Saint Stephens Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.733257843701054,-81.27345545968859,584.9,2,5.5,True,21
Saint Stephens High,ok,Catawba,Regular School,None,Traditional,35.77238540192766,-81.26863866492239,2858.4,0,0.0,True,21
Startown Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.63885551931991,-81.26900069029266,4266.2,0,0.0,True,21
Northview Middle,review_recommended,Catawba,Regular School,None,Traditional,35.742710314044736,-81.33135875818427,351.2,16,8.8,True,21
Grandview Middle,ok,Catawba,Regular School,None,Traditional,35.723840792214176,-81.36035569556009,100.6,14,10.0,True,21
Hickory Career & Arts Magnet High School,ok,Catawba,Regular School,None,Traditional,35.735590379443686,-81.33514807575288,48.8,36,15.5,True,21
Hickory High,review_recommended,Catawba,Regular School,None,Traditional,35.74958892320385,-81.33235004578543,269.2,15,8.0,True,21
W M Jenkins Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.78092622419293,-81.32363235668575,1246.2,0,0.0,True,21
Longview Elementary,ok,Catawba,Regular School,None,Traditional,35.727917070112866,-81.38022207807826,980.9,0,0.0,True,21
Oakwood Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.737195006689866,-81.34472470292535,557.2,6,26.2,True,21
Southwest Elementary,ok,Catawba,Regular School,None,Traditional,35.71029015294099,-81.38702478577851,2474.4,0,0.0,True,21
Viewmont Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.75345777485354,-81.33715213483727,70.8,16,8.5,True,21
Conover Special Education,review_recommended,Catawba,Exceptional Children,None,Traditional,35.701446906190206,-81.22150409857414,102.1,18,7.8,True,21
NewtonConover High,ok,Catawba,Regular School,None,Traditional,35.67771318922198,-81.22452291130429,406.4,14,9.3,True,21
NewtonConover Middle,review_recommended,Catawba,Regular School,None,Traditional,35.689293089484025,-81.2221431649421,336.1,9,10.0,True,21
