county,year,internet_type,pct_households,lat,lon,internet_category
Chowan County,2019,with an internet subscription,1.0,36.12656326708592,-76.60213354311976,with an internet subscription
Currituck County,2019,internet access without a subscription,1.0,36.36252824248771,-75.96355912337177,internet access without a subscription
Gates County,2019,with an internet subscription,1.0,36.44495018813827,-76.70052276274026,with an internet subscription
Polk County,2019,internet access without a subscription,1.0,35.27928721249203,-82.16968400938164,internet access without a subscription
Randolph County,2019,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.71027848607494,-79.80603671261147,satellite
Cumberland County,2019,with an internet subscription,1.0,35.048616925792395,-78.82756016065333,with an internet subscription
Jackson County,2019,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.28759449222261,-83.14085400351321,fiber
Wake County,2019,with an internet subscription - dial-up with no other type of internet subscription,1.0,35.79031905938475,-78.65028589163481,dialup
Mcdowell County,2019,with an internet subscription - dial-up with no other type of internet subscription,0.33,35.681643343083735,-82.04932060905985,dialup
Mcdowell County,2019,no internet access,1.0,35.681643343083735,-82.04932060905985,no internet access
Franklin County,2019,with an internet subscription - other service with no other type of internet subscription,0.37,36.08278028409943,-78.28569850104195,with an internet subscription - other service with no other type of internet subscription
Columbus County,2019,with an internet subscription - broadband of any type,1.0,34.26565549168028,-78.65501030724411,with an internet subscription - broadband of any type
Sampson County,2019,total households,1.0,34.99154496012118,-78.37139292019154,total households
Duplin County,2019,with an internet subscription - broadband of any type,1.0,34.93654168662893,-77.9330278458104,with an internet subscription - broadband of any type
Durham County,2019,internet access without a subscription,1.0,36.03603588748117,-78.87659439820085,internet access without a subscription
Wayne County,2019,with an internet subscription - dial-up with no other type of internet subscription,0.55,35.36396757993098,-78.00399613059446,dialup
Bertie County,2018,estimate - total - with an internet subscription - cellular data plan,1.0,36.0656374787016,-76.96671441379404,estimate - total - with an internet subscription - cellular data plan
Perquimans County,2018,estimate - total - with an internet subscription,1.0,36.177231517796926,-76.40763686851571,estimate - total - with an internet subscription
Chatham County,2018,estimate - total - with an internet subscription - cellular data plan,1.0,35.70262627748115,-79.2554015212105,estimate - total - with an internet subscription - cellular data plan
Rutherford County,2018,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.40260116153093,-81.91983462247912,fiber
Caldwell County,2018,estimate - total - with an internet subscription - cellular data plan,1.0,35.95305206058291,-81.54643672188453,estimate - total - with an internet subscription - cellular data plan
Caldwell County,2018,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.95305206058291,-81.54643672188453,satellite
Catawba County,2018,estimate - total,1.0,35.66211852328055,-81.21505011799934,estimate - total
Mecklenburg County,2018,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,1.0,35.24647326538168,-80.8326243427789,dialup
Mecklenburg County,2018,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.24647326538168,-80.8326243427789,fiber
Nash County,2018,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.967258453786435,-77.98644805042225,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Wilson County,2018,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,1.0,35.70515284756749,-77.91866576695642,dialup
Wilkes County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,36.20629529914747,-81.16336399921859,estimate - total - with an internet subscription - broadband of any type
Martin County,2017,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,1.0,35.843220874283126,-77.10923496711742,dialup
Washington County,2017,estimate - total - internet access without a subscription,1.0,35.836733131244564,-76.57243148147666,estimate - total - internet access without a subscription
Stanly County,2017,estimate - total - no internet access,1.0,35.311947325488994,-80.25097713783076,estimate - total - no internet access
Swain County,2017,estimate - total - with an internet subscription - other service with no other type of internet subscription,0.0,35.486822539831365,-83.49274272655694,estimate - total - with an internet subscription - other service with no other type of internet subscription
Lee County,2017,estimate - total,1.0,35.475191953202334,-79.17148780684427,estimate - total
Alamance County,2017,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,1.0,36.0436940612818,-79.39943396848538,dialup
Caswell County,2017,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,36.39328046214458,-79.33352583013493,fiber
Gaston County,2018,estimate - total,1.0,35.29436212351148,-81.18024600986712,estimate - total
Moore County,2018,estimate - total - no internet access,1.0,35.31066214764583,-79.4813785444497,estimate - total - no internet access
Stanly County,2018,estimate - total - no internet access,1.0,35.311947325488994,-80.25097713783076,estimate - total - no internet access
Ashe County,2018,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,0.93,36.43443168986441,-81.50052396857649,dialup
