edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
Brevard Academy,Transylvania,0.0959,KG:08,transylvania,brevard academy,best fuzzy score 52 below threshold 85
STEM Early High,Vance,0.1488,6:08,vance,stem early high,best fuzzy score 49 below threshold 85
Vance Charter School,Vance,0.0553,KG:11,vance,vance charter,best fuzzy score 69 below threshold 85
Henderson Collegiate,Vance,0.0767,KG:12,vance,henderson collegiate,best fuzzy score 52 below threshold 85
Union Prep Academy at Indian Trail,Union,0.0509,KG:08,union,union prep academy at indian trail,best fuzzy score 56 below threshold 85
Union Academy,Union,0.0859,KG:12,union,union academy,best fuzzy score 62 below threshold 85
Cherokee Extension School,Swain,0.2244,KG:12,swain,cherokee extension,best fuzzy score 48 below threshold 85
Surry Early College,Surry,0.055,9:13,surry,surry early college,best fuzzy score 76 below threshold 85
Bruce H Tharrington Primary,Surry,0.1615,PK:02,surry,bruce h tharrington primary,best fuzzy score 77 below threshold 85
Meadowview Magnet Middle,Surry,0.18,6:08,surry,meadowview magnet middle,best fuzzy score 83 below threshold 85
Southeastern Middle,Stokes,0.2146,6:08,stokes,southeastern middle,best fuzzy score 84 below threshold 85
CCCA - Fair Bluff /Southeastern Campuses,Columbus,0.0843,9:13,columbus,ccca fair bluff southeastern campuses,best fuzzy score 79 below threshold 85
Tiller School,Carteret,0.0792,KG:05,carteret,tiller,best fuzzy score 40 below threshold 85
J S Waters School,Chatham,0.124,KG:08,chatham,j s waters,best fuzzy score 65 below threshold 85
Moncure School,Chatham,0.1062,PK:08,chatham,moncure,best fuzzy score 56 below threshold 85
Silk Hope School,Chatham,0.1061,KG:08,chatham,silk hope,best fuzzy score 62 below threshold 85
Chatham County Schools,Chatham,0.1089,,chatham,chatham county schools,best fuzzy score 57 below threshold 85
Chatham Charter,Chatham,0.053,KG:12,chatham,chatham charter,best fuzzy score 63 below threshold 85
Woods Charter,Chatham,0.0764,KG:12,chatham,woods charter,best fuzzy score 52 below threshold 85
Willow Oak Montessori,Chatham,0.1214,1:08,chatham,willow oak montessori,best fuzzy score 44 below threshold 85
Discovery High School,Catawba,0.1666,9:12,catawba,discovery high,best fuzzy score 77 below threshold 85
Bennett School,Chatham,0.073,P3:08,chatham,bennett,best fuzzy score 56 below threshold 85
Bonlee School,Chatham,0.0888,KG:08,chatham,bonlee,best fuzzy score 52 below threshold 85
Water's Edge Village School,Currituck,0.0526,KG:08,currituck,water s edge village,best fuzzy score 37 below threshold 85
Seventy-First Classical Middle,Cumberland,0.085,6:08,cumberland,seventy first classical middle,best fuzzy score 81 below threshold 85
Oak Grove High,Davidson,0.0678,9:12,davidson,oak grove high,best fuzzy score 73 below threshold 85
Roger Bell New Tech Academy,Craven,0.152,KG:05,craven,roger bell new tech academy,best fuzzy score 48 below threshold 85
Washington Montessori,Beaufort,0.1087,KG:12,beaufort,washington montessori,best fuzzy score 67 below threshold 85
Grandfather Academy,Avery,0.7931,1:12,avery,grandfather academy,best fuzzy score 52 below threshold 85
Marjorie Williams Academy,Avery,0.0593,KG:12,avery,marjorie williams academy,best fuzzy score 56 below threshold 85
Paul R Brown Leadership Academy,Bladen,0.213,6:12,bladen,paul r brown leadership academy,best fuzzy score 51 below threshold 85
Early College,Buncombe,0.0559,9:13,buncombe,early college,best fuzzy score 62 below threshold 85
Middle College,Buncombe,0.56,11:13,buncombe,middle college,best fuzzy score 67 below threshold 85
South Brunswick Charter,Brunswick,0.0989,KG:05,brunswick,south brunswick charter,best fuzzy score 79 below threshold 85
The COAST,Brunswick,0.5119,6:12,brunswick,the coast,best fuzzy score 32 below threshold 85
Audrey W. Garrett Elementary,Alamance,0.1592,P3:05,alamance,audrey w garrett elementary,best fuzzy score 80 below threshold 85
River Mill Academy,Alamance,0.0601,KG:12,alamance,river mill academy,best fuzzy score 53 below threshold 85
Davidson County Schools,Davidson,0.0828,,davidson,davidson county schools,best fuzzy score 79 below threshold 85
A.C.E. Academy,Cabarrus,0.1521,KG:08,cabarrus,a c e academy,best fuzzy score 46 below threshold 85
GW Carver Elementary,Cabarrus,0.1362,KG:05,cabarrus,gw carver elementary,best fuzzy score 71 below threshold 85
W R Odell Primary,Cabarrus,0.0725,KG:02,cabarrus,w r odell primary,best fuzzy score 54 below threshold 85
Cabarrus-Kannapolis Early Coll,Cabarrus,0.1218,9:13,cabarrus,cabarrus kannapolis early college,best fuzzy score 68 below threshold 85
Camden County Schools,Camden,0.1256,,camden,camden county schools,best fuzzy score 77 below threshold 85
Down East Middle and Smyrna Elementary,Carteret,0.2226,PK:08,carteret,down east middle and smyrna elementary,best fuzzy score 62 below threshold 85
Nesbitt Discovery Academy,Buncombe,0.0652,9:12,buncombe,nesbitt discovery academy,best fuzzy score 44 below threshold 85
Asheville Primary,Buncombe,0.2337,P3:03,buncombe,asheville primary,best fuzzy score 71 below threshold 85
ArtSpace Charter School,Buncombe,0.0578,KG:08,buncombe,artspace charter,best fuzzy score 40 below threshold 85
IC Imagine,Buncombe,0.0838,KG:12,buncombe,ic imagine,best fuzzy score 45 below threshold 85
Sand Hill-Venable Elem,Buncombe,0.1119,KG:04,buncombe,sand hill venable elementary,best fuzzy score 80 below threshold 85
Francine Delany New School,Buncombe,0.0574,KG:08,buncombe,francine delany new,best fuzzy score 53 below threshold 85
New Dimensions,Burke,0.1343,KG:08,burke,new dimensions,best fuzzy score 38 below threshold 85
Coltrane-Webb Elementary,Cabarrus,0.0717,KG:05,cabarrus,coltrane webb elementary,best fuzzy score 81 below threshold 85
Hillcrest Elementary,Burke,0.0745,P0:05,burke,hillcrest elementary,best fuzzy score 78 below threshold 85
Mountain View Elementary,Burke,0.1109,P3:05,burke,mountain view elementary,best fuzzy score 78 below threshold 85
Washington Elementary,Guilford,0.2485,P3:05,guilford,washington elementary,best fuzzy score 78 below threshold 85
Philip J Weaver Ed Center,Guilford,0.0632,9:12,guilford,philip j weaver ed center,best fuzzy score 58 below threshold 85
Welborn Middle,Guilford,0.2339,6:08,guilford,welborn middle,best fuzzy score 69 below threshold 85
Wiley Accel/Enrichment,Guilford,0.4121,PK:05,guilford,wiley accel enrichment,best fuzzy score 68 below threshold 85
Greensboro Academy,Guilford,0.0583,KG:08,guilford,greensboro academy,best fuzzy score 69 below threshold 85
"Phoenix Academy-  Primary, Elem. IB MYP",Guilford,0.1404,KG:08,guilford,phoenix academy primary elementary ib myp,best fuzzy score 56 below threshold 85
Cornerstone Charter Academy-CFA,Guilford,0.0894,KG:12,guilford,cornerstone charter academy cfa,best fuzzy score 60 below threshold 85
College Prep and Leadership Academy,Guilford,0.1013,KG:12,guilford,college prep and leadership academy,best fuzzy score 58 below threshold 85
Summerfield Charter Academy,Guilford,0.0979,KG:08,guilford,summerfield charter academy,best fuzzy score 65 below threshold 85
Gate City Charter,Guilford,0.1388,KG:07,guilford,gate city charter,best fuzzy score 59 below threshold 85
The Experiential School of Greensboro,Guilford,0.0794,KG:06,guilford,the experiential of greensboro,best fuzzy score 56 below threshold 85
Pruette SCALE Academy,Guilford,0.8888,6:12,guilford,pruette scale academy,best fuzzy score 83 below threshold 85
George C Simkins Jr Elementary,Guilford,0.1116,P2:05,guilford,george c simkins jr elementary,best fuzzy score 64 below threshold 85
KIPP Halifax College Prep,Halifax,0.1899,KG:08,halifax,kipp halifax college prep,best fuzzy score 53 below threshold 85
Manning Elementary School,Halifax,0.1581,P0:05,halifax,manning elementary,best fuzzy score 78 below threshold 85
Roanoke Rapids Early College High,Halifax,0.1,8:13,halifax,roanoke rapids early college high,best fuzzy score 73 below threshold 85
Highland Middle,Harnett,0.1351,6:08,harnett,highland middle,best fuzzy score 62 below threshold 85
