trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,1203778,16,11:12:00,11:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,1203778,16,13:12:00,13:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,1203778,16,12:12:00,12:12:00,0,9100.41
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,233,17,16:13:00,16:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,233,17,14:13:00,14:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,233,17,10:13:00,10:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,233,17,15:13:00,15:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,233,17,09:13:00,09:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,233,17,17:13:00,17:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,233,17,11:13:00,11:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,233,17,13:13:00,13:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,233,17,12:13:00,12:13:00,1,9434.45
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,1203777,18,16:14:00,16:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,1203777,18,14:14:00,14:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,1203777,18,10:14:00,10:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,1203777,18,15:14:00,15:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,1203777,18,09:14:00,09:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,1203777,18,17:14:00,17:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,1203777,18,11:14:00,11:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,1203777,18,13:14:00,13:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,1203777,18,12:14:00,12:14:00,0,9901.31
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,234,19,16:14:00,16:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,234,19,14:14:00,14:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,234,19,10:14:00,10:14:00,0,10283.78
