stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"115","Pinnacle Dr","36.221954345703125","-81.69657897949219","116",,,,"0","",,
"114","Miller Industries","36.221012115478516","-81.69127655029297","101",,,,"0","",,
"113","Watauga County Courthouse","36.2204475402832","-81.68690490722656","134",,,,"0","",,
"112","King St / N Depot St","36.21870422363281","-81.68379211425781","92",,,,"0","",,
"111","NC 105 Ext / Azalea Dr","36.20625305175781","-81.66854858398438","106",,,,"0","",,
"110","Quail Drive","36.21404266357422","-81.66873168945312","41",,,,"0","",,
"109","Beverly Heights Ave","36.210838317871094","-81.66700744628906","114",,,,"0","",,
"108","Walmart 2","36.198158264160156","-81.65874481201172","133",,,,"0","",,
"107","Boone Heights 2","36.20094299316406","-81.65758514404297","36",,,,"0","",,
"106","Boone Heights 1","36.20238494873047","-81.65646362304688","35",,,,"0","",,
"105","Watauga Opportunities","36.198448181152344","-81.66809844970703","138",,,,"0","",,
"104","Winkler's Meadow","36.19975662231445","-81.67057037353516","143",,,,"0","",,
"103","Vet Clinic on Wilson Dr","36.202049255371094","-81.67160034179688","130",,,,"0","",,
"102","ASU Mountain Laurel Hall / NC 105 Ext","36.206478118896484","-81.66874694824219","33",,,,"0","",,
"101","Ram's Rack","36.22066116333008","-81.68798828125","121",,,,"0","",,
"100","Human Services Center","36.22087860107422","-81.69172668457031","83",,,,"0","",,
"99","High Country Condos","36.22153854370117","-81.69729614257812","70",,,,"0","",,
"98","Oak Grove Road","36.22235107421875","-81.70210266113281","109",,,,"0","",,
"97","George Wilson Rd  / Vet Hospital 1","36.227176666259766","-81.71488952636719","59",,,,"0","",,
"96","NC 105 Bypass / US 421","36.2301139831543","-81.72032928466797","104",,,,"0","",,
"95","Wilson Dr","36.20274353027344","-81.67192840576172","142",,,,"0","",,
"94","Greenway Commons","36.199867248535156","-81.67037200927734","64",,,,"0","",,
"93","Greenway Business Park","36.19855499267578","-81.6678237915039","63",,,,"0","",,
"92","Greenway Rd Parking Lot","36.19805145263672","-81.66397857666016","65",,,,"0","",,
