stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
16085,16085,E Williams St at S Mason St (Apex MS NB),,35.725827,-78.8501,0,0
1450,1450,Apex Park and Ride (Compare Foods),,35.72651,-78.851219,0,0
1167,1167,E Chatham St & S Mason St,,35.729231956313,-78.8479195501963,0,0
11194,11194,Kildaire Farm Rd at Walnut St,,35.782199,-78.780535,0,0
1366,1366,Kildaire Farm Rd at W Cornwall Rd (SB),Kildaire Farm Rd at Cornwall Rd (SB),35.776018,-78.781832,0,0
1367,1367,Kildaire Farm Rd at Mayfair Plaza,,35.77256,-78.781881,0,0
11176,11176,Kildaire Farm Rd at Kilmayne Dr (SB),,35.769812,-78.781936,0,0
11082,11082,Kildaire Farm Rd at Wrenn Dr,,35.765216,-78.783546,0,0
11080,11080,Kildaire Farm Rd at High Meadow Dr OB,,35.761134,-78.78353,0,0
11079,11079,KiIdaire Farm Rd at SW Cary Pkwy (SB),,35.757432,-78.783135,0,0
11076,11076,Kildaire Farm Rd at Queensferry Rd,,35.750652,-78.783061,0,0
11174,11174,Kildaire Farm Rd at Glasgow Rd,,35.747579,-78.782626,0,0
11198,11198,1700 Kildaire Farm Rd,,35.744935,-78.781669,0,0
11074,11074,Kildaire Farm Rd at WakeMed Cary (SB),,35.74123,-78.780359,0,0
11409,11409,Kildaire Farm Rd at Advent Court,,35.735908,-78.77929,0,0
11244,11244,Crescent Commons Dr at Kildaire Farm Rd,,35.734769,-78.779284,0,0
11397,11397,Highland Village (WB),,35.784228,-78.79619,0,0
11165,11165,High House Rd at Old Apex Rd,,35.78357,-78.800158,0,0
11166,11166,High House Rd at Bayoak Dr,,35.783697,-78.804446,0,0
11167,11167,High House Rd at NW Maynard Rd (WB),,35.783487,-78.808425,0,0
11401,11401,High House Rd at Maynard Crossing,,35.7836395969176,-78.8118899650508,0,0
11019,11019,High House Rd at Castalia Dr (WB),,35.784896,-78.818582,0,0
11020,11020,High House Rd at  Bond Park Dr (WB),,35.785621,-78.820947,0,0
11143,11143,High House Rd at NW Cary Pkwy (WB),,35.788759,-78.82839,0,0
11222,11222,High House Rd at Prestonwood Pky,High House Rd at Prestonwood Parkway,35.792995,-78.838668,0,0
11247,11247,High House Road at Bradford Plaza Way,High House Rd at Bradford,35.792285,-78.845336,0,0
11150,11150,High House Rd at Davis Dr (WB),,35.79138,-78.84774,0,0
11152,11152,High House Rd at Stone Creek Village,,35.790056,-78.850962,0,0
11154,11154,High House Rd at Spring Vista Way,,35.789683,-78.855399,0,0
11196,11196,High House Rd at Widdington Ln,,35.789034,-78.860496,0,0
11158,11158,High House Rd at Sir Walker Ln,,35.788951,-78.863152,0,0
1441,1441,NC 55 at High House Rd,,35.787175,-78.87109,0,0
1228,1228,N Harrison Ave at Harrison Square,,35.829156,-78.769337,0,0
11250,11250,Weston Pkwy at Realtors Way,,35.830365,-78.774519,0,0
11252,11252,2400 Weston Pkwy,,35.831406,-78.778165,0,0
11254,11254,Weston Pkwy at Winstead Dr (WB),,35.83141,-78.782788,0,0
11256,11256,Weston Pkwy at Norwell Blvd (WB),,35.829036,-78.791202,0,0
11257,11257,Weston Pkwy at MetLife Way,,35.828557,-78.7985,0,0
11258,11258,11800 Weston Pkwy,,35.827054,-78.802872,0,0
11260,11260,Weston Pkwy at Evans Rd (WB),,35.826895,-78.805357,0,0
11262,11262,Weston Pkwy at Stamford Dr (WB),,35.8213809622157,-78.808385658764,0,0
11264,11264,Weston Pkwy at Cascade Pointe Ln (WB),,35.819266,-78.810339,0,0
11266,11266,Weston Pkwy at Sheldon Dr (WB),,35.816719,-78.811804,0,0
11268,11268,Weston Pkwy at Wildfell Trail (WB),,35.81525,-78.815071,0,0
11270,11270,Chapel Hill Rd at Summit Ridge Loop,,35.812249,-78.818115,0,0
11272,11272,Chapel Hill Rd at Morrisville Pkwy (SB),,35.809689,-78.816438,0,0
11273,11273,Chapel Hill Rd at Market Center Dr,,35.807925,-78.814332,0,0
11274,11274,NW Cary Pkwy at Village Market Pl (SB),,35.804613,-78.813676,0,0
11276,11276,James Jackson Ave at Grisdale Ln,,35.800282,-78.815021,0,0
11278,11278,James Jackson Ave at Towerview Ct (EB),,35.799131,-78.811473,0,0
11280,11280,Cary Public Works (James Jackson Ave) (EB),,35.796643,-78.80863,0,0
11282,11282,333 James Jackson Ave,,35.795753,-78.807078,0,0
11057,11057,NW Maynard Rd at Carrousel Ln,,35.795776,-78.800554,0,0
11284,11284,Chapel Hill Rd at NW Maynard Rd,,35.798396,-78.795663,0,0
11286,11286,Chapel Hill Rd at W Boundary St/Northwoods Greenwa,Chapel Hill Rd at W Boundary St/Northwoods Greenway (EB),35.793596,-78.789785,0,0
16013,16013,Hunter St at Hillcrest Rd,,35.735441,-78.857171,0,0
11094,11094,N Harrison Ave at Renaissance Park Pl,,35.825724,-78.770537,0,0
11087,11087,N Harrison Ave at Research Dr,,35.821312,-78.771208,0,0
1582,1582,N Harrison Ave at NW Cary Pky (SB),,35.818777,-78.771862,0,0
1581,1581,N Harrison Ave at Reedy Creek Rd (SB),,35.815963,-78.774487,0,0
1404,1404,N Harrison Ave at Homestead Dr,,35.813866,-78.77686,0,0
1361,1361,N Harrison Ave at W Dynasty Dr (SB),,35.810109,-78.781029,0,0
